OG0001871	macromolecule glycosylation
OG0006520	NAD( )-dependent glutamate dehydrogenase which degrades glutamate to ammonia and alpha-ketoglutarate
OG0001629	RNA recognition motif
OG0003843	ABC transporter E family member
OG0003344	Bardet-Biedl syndrome 2
OG0002544	Adenylyl- / guanylyl cyclase, catalytic domain
OG0000319	FKBP-type peptidyl-prolyl cis-trans isomerase
OG0005610	GTP-binding GTPase Middle Region
OG0004539	ABC transporter
OG0006884	GTPase activity
OG0000432	'Cold-shock' DNA-binding domain
OG0004879	dodecanoyl-[acyl-carrier-protein] hydrolase activity
OG0006028	protein conserved in bacteria
OG0007054	Glutathione S-transferase
OG0000360	peptidyl-arginine methylation, to symmetrical-dimethyl arginine
OG0001597	Belongs to the DEAD box helicase family
OG0000598	hemK methyltransferase family member 1
OG0000812	peptidyl-prolyl isomerase
OG0001954	Prolyl 4-hydroxylase alpha subunit homologues.
OG0005545	beta-galactosidase
OG0001607	NLI interacting factor-like phosphatase family protein
OG0001611	Haloacid dehalogenase-like hydrolase
OG0007208	peptidyl-lysine monomethylation
OG0002857	PFAM Integral membrane protein TerC
OG0002493	Eukaryotic membrane protein family
OG0006212	DNA-3-methyladenine glycosylase I
OG0003401	NUC156 family protein. Source PGD
OG0004640	Maleate cis-trans isomerase
OG0004392	Calcium-dependent protein kinase
OG0004369	Belongs to the short-chain dehydrogenases reductases (SDR) family
OG0004025	Endonuclease V
OG0003261	Exosome complex component
OG0000576	protein serine/threonine kinase activity
OG0002782	Zinc finger A20 and AN1 domain-containing stress-associated protein
OG0006235	Responsible for synthesis of pseudouridine from uracil
OG0001495	protein serine/threonine kinase activity
OG0000244	NAD+ binding
OG0005342	BRCA1 BRCA2-containing complex, subunit 3
OG0000142	Plasma-membrane choline transporter
OG0002410	Introduces a single-strand break via transesterification at a target site in duplex DNA. Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand
OG0000357	Belongs to the BI1 family
OG0000729	PEP-utilising enzyme, TIM barrel domain
OG0002874	Aldehyde dehydrogenase family
OG0003425	sterol 24-C-methyltransferase activity
OG0003065	Belongs to the glycosyl hydrolase 43 family
OG0004793	pre-mRNA processing factor 3 (PRP3)
OG0000826	Endonuclease/Exonuclease/phosphatase family
OG0007018	protein catabolic process
OG0007466	AarF domain-containing protein kinase
OG0001466	Has a role in fat regulation independent of daf-16. Implicated in ciliar sensory function which is required for normal sensory behavior such as chemotaxis. Functions in life span control via the insulin IGF-1 pathway. Thought to be involved in neuronal trafficking
OG0005681	high-affinity nickel-transport family protein
OG0002372	Atlastin GTPase 2
OG0007174	3' exoribonuclease family, domain 2
OG0007306	positive regulation of peptidyl-threonine phosphorylation
OG0002353	Belongs to the ubiquitin-conjugating enzyme family
OG0004861	RNA binding
OG0005806	metallophosphoesterase
OG0004219	phosphoserine phosphatase
OG0004329	-
OG0001585	tRNA (Guanine-1)-methyltransferase
OG0000063	o-methyltransferase
OG0006481	Belongs to the short-chain dehydrogenases reductases (SDR) family
OG0000005	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
OG0002350	Ubiquitin carboxyl-terminal hydrolase 47
OG0003841	RNA helicase
OG0000389	Glucose inhibited division protein A
OG0006313	L-lactate permease
OG0004817	Splicing factor 3A subunit 2
OG0000112	EF-hand domain
OG0005941	aldo keto reductase
OG0006108	NAD dependent epimerase/dehydratase family
OG0001000	occurring C-terminal to leucine-rich repeats
OG0006245	intraciliary transport
OG0000463	endo-1,3(4)-beta-glucanase
OG0001497	CDPK-related kinase
OG0000405	[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity
OG0000256	Protein tyrosine kinase
OG0003579	Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib-5-P)
OG0001414	snRNP Sm proteins
OG0006670	Serine/Threonine protein kinases, catalytic domain
OG0000015	helicase superfamily c-terminal domain
OG0000797	ATPase activity
OG0005470	cytokinin dehydrogenase activity
OG0000856	serine threonine protein kinase
OG0004374	Kelch motif family protein. Source PGD
OG0000732	Adenylate kinase
OG0002119	signal peptide peptidase-like
OG0000216	E3 ISG15--protein ligase
OG0003290	Cytochrome b5-like Heme/Steroid binding domain
OG0000244	Sir2 family
OG0001748	N,N-dimethylaniline monooxygenase activity
OG0007412	Xylanase inhibitor N-terminal
OG0000430	CGMP-dependent protein kinase
OG0007511	Belongs to the SNF7 family
OG0004355	intracellular sterol transport
OG0006248	Phosphoesterase family
OG0006249	Xylulose kinase
OG0000732	Catalyzes the phosphorylation of pyrimidine nucleoside monophosphates at the expense of ATP. Plays an important role in de novo pyrimidine nucleotide biosynthesis. Has preference for UMP and CMP as phosphate acceptors
OG0002872	intracellular protein transport
OG0006023	Ring finger domain
OG0000014	glucan metabolic process
OG0000112	Calmodulin
OG0004454	duf431 domain-containing protein
OG0002058	Glycosyl hydrolases family 28
OG0002162	protein polyubiquitination
OG0002727	retrograde transport, endosome to Golgi
OG0006322	Carboxylesterase family
OG0000142	choline transmembrane transporter activity
OG0000286	Belongs to the universal ribosomal protein uS15 family
OG0006804	Serine/Threonine protein kinases, catalytic domain
OG0007194	Pathogen-related protein-like
OG0005506	Tim10 DDP zinc finger domain-containing protein
OG0004384	Cellulase (glycosyl hydrolase family 5)
OG0003455	Domain of unknown function (DUF1989)
OG0000126	Belongs to the heat shock protein 70 family
OG0003411	Integral membrane protein, TerC family
OG0006228	The H protein shuttles the methylamine group of glycine from the P protein to the T protein
OG0000083	Thrombospondin type 1 repeats
OG0003305	N,N-dimethylaniline monooxygenase activity
OG0000655	Source PGD
OG0007442	cAMP biosynthetic process
OG0004182	Component of the spliceosomal U1 snRNP, which is essential for recognition of the pre-mRNA 5' splice-site and the subsequent assembly of the spliceosome. U1-C is directly involved in initial 5' splice-site recognition for both constitutive and regulated alternative splicing. The interaction with the 5' splice-site seems to precede base-pairing between the pre-mRNA and the U1 snRNA. Stimulates commitment or early (E) complex formation by stabilizing the base pairing of the 5' end of the U1 snRNA and the 5' splice-site region
OG0000040	3',5'-cyclic-nucleotide phosphodiesterase activity. It is involved in the biological process described with signal transduction
OG0007343	non-ribosomal peptide synthetase
OG0006072	Ubiquitinyl hydrolase 1
OG0000200	decanoate-CoA ligase activity
OG0001942	Belongs to the peptidase C1 family
OG0001113	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
OG0003787	SET and MYND
OG0006866	tRNA pseudouridine synthase D (TruD)
OG0005668	Splicing factor 1 helix-hairpin domain
OG0000165	ion antiporter activity involved in regulation of postsynaptic membrane potential
OG0005198	Displays ATPase and GTPase activities
OG0002136	Belongs to the 14-3-3 family
OG0006742	Methyltransferase domain
OG0004798	Clusterin-associated protein-1
OG0000014	serine threonine-protein phosphatase
OG0000751	It is involved in the biological process described with protein phosphorylation
OG0006330	Frataxin-like domain
OG0005954	biotin synthase activity
OG0003674	xap5 circadian
OG0005034	signal complex assembly
OG0000034	Helicase associated domain (HA2)  Add an annotation
OG0001869	Mob1/phocein family
OG0001194	4-aminobutyrate:pyruvate transaminase activity
OG0001923	Belongs to the small GTPase superfamily. SAR1 family
OG0000074	Voltage-gated potassium channel activity. It is involved in the biological process described with
OG0000437	iron ion binding
OG0007520	kinase activity
OG0003008	ATP-dependent DNA helicase 2 subunit
OG0000058	CAP-Gly domain-containing linker protein
OG0002706	Prolyl 4-hydroxylase alpha subunit homologues.
OG0001266	Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus
OG0006505	Protein kinase domain
OG0000256	MAP kinase kinase kinase kinase activity
OG0006602	belongs to the protein kinase superfamily
OG0007477	FAD dependent oxidoreductase
OG0000517	Glycoside hydrolase family 13
OG0000004	calmodulin-dependent protein kinase activity
OG0005854	PPP5 TPR repeat region
OG0002388	aminomethyltransferase activity
OG0000830	Trehalose-6-phosphate synthase
OG0005014	Actin depolymerisation factor/cofilin -like domains
OG0000277	RAB1A, member RAS oncogene family
OG0006691	ATPase MipZ
OG0000710	Saccharomyces cerevisiae YCR051W
OG0000006	phosphopantetheine binding
OG0001073	Vault protein inter-alpha-trypsin domain
OG0000106	Aldo keto reductases, related to diketogulonate reductase
OG0001193	DKCLD (NUC011) domain
OG0000405	pyruvate dehydrogenase (acetyl-transferring) kinase activity
OG0002794	nitrile biosynthetic process
OG0006626	A domain family that is part of the cupin metalloenzyme superfamily.
OG0003546	protein serine/threonine kinase activity
OG0000919	positive regulation of homocysteine metabolic process
OG0000075	Enoyl-(Acyl carrier protein) reductase
OG0007440	Microsomal signal peptidase 12 kDa subunit (SPC12)
OG0002606	G-quadruplex DNA unwinding
OG0001807	WD domain, G-beta repeat-containing protein
OG0001651	cellular zinc ion homeostasis
OG0003557	GcpE protein
OG0007122	Belongs to the protein-tyrosine phosphatase family. Non-receptor class dual specificity subfamily
OG0004867	Tubulin tyrosine ligase-like family, member 11
OG0006633	Oxidoreductase activity. It is involved in the biological process described with oxidation-reduction process
OG0001042	PUA-like domain
OG0007464	inorganic diphosphatase activity
OG0006732	Ribosomal protein L10
OG0000766	Rab2, GTPase
OG0006927	Domain with 2 conserved Trp (W) residues
OG0000007	RING-H2 zinc finger domain
OG0004338	ubiquitin binding
OG0003879	Belongs to the thiolase family
OG0004763	protein maturation by iron-sulfur cluster transfer
OG0000049	DnaJ-class molecular chaperone with C-terminal Zn finger
OG0000183	cAMP-dependent protein kinase activity
OG0002597	Endonuclease/Exonuclease/phosphatase family
OG0001467	Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily
OG0007217	Polyamine oxidase 4
OG0001131	Domain Homologous to E6-AP Carboxyl Terminus with
OG0006308	Exostosin family
OG0000589	Glutathione S-transferase
OG0000972	kinase 2
OG0005871	Belongs to the bacterial ribosomal protein bL17 family
OG0003050	Elongation factor 3. Source PGD
OG0003503	Ankyrin repeats (many copies)
OG0003986	Integral membrane protein S linking to the trans Golgi network
OG0001051	Glycosyl hydrolases family 2
OG0000970	COG0477 Permeases of the major facilitator superfamily
OG0007220	DUF1479 domain protein
OG0000759	2-oxoglutarate dehydrogenase
OG0002926	response to abiotic stimulus
OG0000132	Carbonic anhydrase
OG0004131	Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)
OG0007101	Putative RNA methyltransferase
OG0003490	COG1960 Acyl-CoA dehydrogenases
OG0000021	Lys63-specific deubiquitinase activity
OG0006180	NADH pyrophosphatase activity
OG0005839	nuclear retention of pre-mRNA with aberrant 3'-ends at the site of transcription
OG0007178	Belongs to the DEAD box helicase family
OG0000974	Macrocin-O-methyltransferase (TylF)
OG0004959	UPF0126 domain
OG0001092	MAP kinase kinase kinase activity
OG0000131	protein kinase activity
OG0001807	WD40 repeats
OG0002074	Rieske [2Fe-2S] domain
OG0002700	Catalyzes the formation of phosphatidylethanolamine (PtdEtn) from phosphatidylserine (PtdSer). Plays a central role in phospholipid metabolism and in the interorganelle trafficking of phosphatidylserine
OG0002541	COG1226 Kef-type K transport systems
OG0001751	DNA primase is the polymerase that synthesizes small RNA primers for the Okazaki fragments made during discontinuous DNA replication
OG0007175	Belongs to the amidase family
OG0000565	Belongs to the cytochrome P450 family
OG0000858	Thioredoxin and glutathione reductase family protein
OG0001274	glycosyl
OG0001014	OTU-like cysteine protease
OG0000656	Cyclin-dependent kinase
OG0000871	negative regulation of phosphatase activity
OG0002451	50s ribosomal protein L13
OG0002338	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
OG0006730	Glycosyl transferases group 1
OG0005294	Acetyltransferase (GNAT) domain
OG0000478	microtubule motor activity. It is involved in the biological process described with microtubule-based movement
OG0000004	Calcium calmodulin-dependent protein kinase
OG0002072	Taurine catabolism dioxygenase TauD, TfdA family
OG0004130	oxidoreductase activity
OG0003988	Radical SAM superfamily
OG0002254	nucleotidase 1
OG0007487	thiol-dependent ubiquitin-specific protease activity
OG0003057	Prolyl 4-hydroxylase alpha subunit homologues.
OG0000283	Glucan (1,4-alpha-), branching enzyme 1
OG0005737	ATP-binding cassette sub-family B
OG0004614	Belongs to the mitochondrial carrier (TC 2.A.29) family
OG0000425	RQC
OG0004899	Glycosyltransferase
OG0000640	ABC transporter
OG0004266	Cationic amino acid transporter
OG0006270	Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane
OG0004958	peptide deformylase activity
OG0005403	Belongs to the mitochondrial carrier (TC 2.A.29) family
OG0000400	COG1226 Kef-type K transport systems
OG0006743	Belongs to the amidase family
OG0005861	DNA-directed RNA polymerase
OG0005438	Alpha/beta hydrolase family
OG0001444	BTB POZ domain-containing protein
OG0001990	Belongs to the eukaryotic ribosomal protein eS6 family
OG0003516	intraciliary transport
OG0003707	purine nucleosidase activity
OG0005400	ATPase domain protein
OG0000977	ATP-dependent DNA- helicase
OG0000629	Cupin-like domain
OG0005368	Chorismate synthase
OG0000615	Ion transport protein
OG0004757	maintenance of protein location in nucleus
OG0000221	protein-cysteine S-palmitoyltransferase activity
OG0007402	RING-like zinc finger
OG0006908	Rhodanese Homology Domain
OG0000415	WD domain, G-beta repeat
OG0005501	Protein phosphatase methylesterase 1
OG0005687	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins
OG0000338	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome
OG0004660	RNA polymerase Rpc34 subunit
OG0002384	COGs COG1132 ABC-type multidrug transport system ATPase and permease components
OG0000423	Catalyzes the formation of N(4)-acetylcytidine (ac(4)C) at the wobble position of tRNA(Met), by using acetyl-CoA as an acetyl donor and ATP (or GTP)
OG0002458	PPIC-type PPIASE domain
OG0000418	Belongs to the ubiquitin-conjugating enzyme family
OG0002572	RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same active site
OG0002065	nucleic acid binding
OG0000296	Leucine rich repeat
OG0002232	Sugar (and other) transporter
OG0007312	zinc-RING finger domain
OG0002559	pyruvate dehydrogenase (acetyl-transferring) kinase activity
OG0003525	transmembrane transporter activity
OG0000256	Serine threonine-protein kinase
OG0001335	DNA damage response, detection of DNA damage
OG0000422	Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N- methyltransferase family
OG0000758	deSI-like protein
OG0005310	oxidation-reduction process
OG0006771	aldehyde dehydrogenase (NAD) activity
OG0004919	Belongs to the ubiquitin-conjugating enzyme family
OG0001511	E3 ubiquitin-protein ligase RNF126
OG0005039	voltage-gated chloride channel activity
OG0006761	Alpha beta hydrolase
OG0000439	Transmembrane 9 superfamily member
OG0005230	PspA/IM30 family
OG0003230	Glycosyltransferase (GlcNAc)
OG0000628	RNA recognition motif
OG0006635	tRNA synthetases class II (A)
OG0005314	Saccharomyces cerevisiae YMR244ca
OG0000739	dodecenoyl-CoA delta-isomerase activity
OG0004890	Chlorophyll A-B binding protein
OG0000706	III protein, CoA-transferase family
OG0005866	Protein mrp homolog
OG0004318	cAMP-dependent protein kinase regulator activity
OG0004464	kinase-like protein
