OG0002766	Durusdinium17035	K14569
OG0000635	Durusdinium18012	K03320
OG0004347	Durusdinium31132	K10669
OG0000116	Durusdinium17728	K11323
OG0000020	Durusdinium18238	K05592
OG0004373	Durusdinium46923	K10420
OG0004190	Durusdinium23366	K01490
OG0002817	Durusdinium40622	K23490
OG0002955	Durusdinium31237	K12850
OG0001573	Durusdinium33961	K14206
OG0001227	Durusdinium19129	K19199
OG0001142	Durusdinium34186	K10754
OG0000078	Durusdinium15901	K09640
OG0005168	Durusdinium24857	K01190
OG0000729	Durusdinium38387	K01006
OG0002561	Durusdinium15808	K15701
OG0000973	Durusdinium15425	K02183
OG0000466	Durusdinium6109	K24427
OG0004583	Durusdinium35754	K10260
OG0005647	Durusdinium32888	K06252
OG0002105	Durusdinium24579	K00753
OG0001485	Durusdinium6298	K00789
OG0003851	Durusdinium48809	K09592
OG0005111	Durusdinium19520	K07232
OG0007548	Durusdinium10622	K09678
OG0002920	Durusdinium18006	K15110
OG0002363	Durusdinium34272	K00699
OG0001588	Durusdinium107	K16219
OG0001460	Durusdinium34689	K00750
OG0001630	Durusdinium19395	K23048
OG0000382	Durusdinium37141	K25656
OG0001350	Durusdinium26858	K03233
OG0002360	Durusdinium9146	K13412
OG0000164	Durusdinium51542	K20028
OG0006751	Durusdinium8844	K00721
OG0000164	Durusdinium36907	K20028
OG0007060	Durusdinium4780	K20363
OG0006370	Durusdinium19992	K02520
OG0002263	Durusdinium44073	K03439
OG0004131	Durusdinium40300	K00163
OG0001587	Durusdinium23943	K10457
OG0003860	Durusdinium18531	K09259
OG0000625	Durusdinium21846	K24835
OG0001336	Durusdinium51961	K01845
OG0000838	Durusdinium19665	K00218
OG0001495	Durusdinium112	K08811
OG0002536	Durusdinium14912	K24047
OG0001596	Durusdinium18236	K00645
OG0000835	Durusdinium36747	K07376
OG0002710	Durusdinium33201	K00477
OG0002384	Durusdinium38753	K05656
OG0005779	Durusdinium31233	K16250
OG0004950	Durusdinium55897	K05754
OG0000039	Durusdinium31553	K02088
OG0002013	Durusdinium35854	K08176
OG0000514	Durusdinium38183	K02184
OG0001197	Durusdinium6770	K11166
OG0007673	Durusdinium39605	K02324
OG0000794	Durusdinium26829	K10581
OG0006583	Durusdinium22478	K07783
OG0001479	Durusdinium10041	K14079
OG0000741	Durusdinium34822	K04464
OG0000854	Durusdinium36627	K02366
OG0000819	Durusdinium51828	K16900
OG0006123	Durusdinium6154	K00057
OG0000021	Durusdinium52053	K22763
OG0001356	Durusdinium1599	K00856
OG0000102	Durusdinium51670	K00645
OG0006875	Durusdinium39460	K10799
OG0003054	Durusdinium33910	K06276
OG0002695	Durusdinium21153	K00079
OG0007195	Durusdinium48272	K03016
OG0000161	Durusdinium26332	K02183
OG0001069	Durusdinium52412	K02891
OG0006528	Durusdinium8026	K07393
OG0000281	Durusdinium38522	K21440
OG0000799	Durusdinium4892	K18055
OG0007032	Durusdinium18013	K14050
OG0003816	Durusdinium6366	K14963
OG0002010	Durusdinium29904	K03850
OG0000640	Durusdinium9664	K02471
OG0004855	Durusdinium22684	K05864
OG0003596	Durusdinium17938	K15889
OG0002499	Durusdinium30678	K01510
OG0000255	Durusdinium36498	K08869
OG0002275	Durusdinium35496	K04958
OG0001529	Durusdinium30918	K02523
OG0000689	Durusdinium29359	K11204
OG0000016	Durusdinium38954	K06180
OG0002176	Durusdinium24739	K10773
OG0000964	Durusdinium8802	K08798
OG0000893	Durusdinium39468	K21798
OG0000605	Durusdinium49273	K02969
OG0000978	Durusdinium33230	K05349
OG0005640	Durusdinium35654	K05681
OG0003317	Durusdinium32890	K08582
OG0001648	Durusdinium24542	K16675
OG0000102	Durusdinium1235	K00645
OG0003024	Durusdinium8760	K03809
OG0000603	Durusdinium33610	K01379
OG0006488	Durusdinium6760	K17943
OG0000254	Durusdinium51145	K10408
OG0000158	Durusdinium49548	K23257
OG0000112	Durusdinium15195	K02183
OG0007622	Durusdinium15080	K13696
OG0005819	Durusdinium45960	K14326
OG0001439	Durusdinium32606	K08769
OG0002490	Durusdinium36250	K04905
OG0000886	Durusdinium41168	K04905
OG0005700	Durusdinium9136	K18798
OG0002600	Durusdinium17112	K12662
OG0000640	Durusdinium39130	K05677
OG0003744	Durusdinium51991	K14655
OG0000881	Durusdinium23271	K14079
OG0000868	Durusdinium18684	K06911
OG0000734	Durusdinium1236	K01176
OG0003030	Durusdinium30943	K13667
OG0005085	Durusdinium10686	K03872
OG0003806	Durusdinium28494	K10380
OG0002145	Durusdinium14439	K08054
OG0004856	Durusdinium23267	K07890
OG0001448	Durusdinium7683	K14776
OG0000430	Durusdinium29735	K07376
OG0005106	Durusdinium32081	K23025
OG0006099	Durusdinium23926	K17560
OG0005733	Durusdinium19406	K01759
OG0000018	Durusdinium1139	K01802
OG0000331	Durusdinium46026	K04908
OG0000003	Durusdinium15972	K09259
OG0001063	Durusdinium34754	K08624
OG0000314	Durusdinium35217	K08794
OG0000011	Durusdinium41830	K08857
OG0003140	Durusdinium34538	K02109
OG0002000	Durusdinium14626	K09480
OG0000003	Durusdinium7707	K09259
OG0003216	Durusdinium43642	K02729
OG0003562	Durusdinium22326	K01179
OG0002481	Durusdinium24885	K00710
OG0006238	Durusdinium17678	K04461
OG0000794	Durusdinium34975	K10585
OG0000626	Durusdinium21559	K26555
OG0000102	Durusdinium6963	K00645
OG0007468	Durusdinium36249	K14570
OG0006701	Durusdinium31765	K13412
OG0000312	Durusdinium20578	K01338
OG0007068	Durusdinium10583	K15190
OG0001028	Durusdinium25484	K02687
OG0000158	Durusdinium36675	K06221
OG0006946	Durusdinium1615	K12603
OG0000781	Durusdinium22598	K14962
OG0000053	Durusdinium54544	K08960
OG0002997	Durusdinium13580	K02938
OG0005915	Durusdinium31726	K08855
OG0005699	Durusdinium25539	K08582
OG0000035	Durusdinium7716	K15259
OG0007740	Durusdinium10472	K03426
OG0002966	Durusdinium31089	K00901
OG0003617	Durusdinium42958	K16781
OG0006470	Durusdinium49723	K00326
OG0001380	Durusdinium24836	K26730
OG0001139	Durusdinium28142	K14997
OG0000263	Durusdinium7662	K21440
OG0000226	Durusdinium48880	K01803
OG0003354	Durusdinium27346	K24732
OG0002617	Durusdinium40879	K02690
OG0005291	Durusdinium46066	K05986
OG0002583	Durusdinium4350	K10420
OG0002462	Durusdinium12396	K12960
OG0005894	Durusdinium39732	K16726
OG0003485	Durusdinium36579	K14785
OG0000471	Durusdinium34870	K06496
OG0000568	Durusdinium10171	K00850
OG0004537	Durusdinium40435	K01262
OG0001892	Durusdinium43250	K03030
OG0001092	Durusdinium26146	K04412
OG0000180	Durusdinium40196	K07374
OG0000131	Durusdinium23424	K13412
OG0005514	Durusdinium27477	K04373
OG0004860	Durusdinium43016	K02183
OG0002805	Durusdinium40228	K11450
OG0001239	Durusdinium36278	K23555
OG0001989	Durusdinium17626	K17938
OG0000852	Durusdinium34895	K04771
OG0007552	Durusdinium12998	K03118
OG0003076	Durusdinium38637	K12460
OG0001243	Durusdinium25890	K22030
OG0005044	Durusdinium29159	K03097
OG0000467	Durusdinium17826	K14645
OG0006396	Durusdinium37608	K13526
OG0005873	Durusdinium28817	K00645
OG0000978	Durusdinium33489	K05349
OG0000567	Durusdinium14649	K05349
OG0000511	Durusdinium29715	K02985
OG0000294	Durusdinium31143	K17508
OG0001418	Durusdinium38725	K05849
OG0000405	Durusdinium18169	K00898
OG0003004	Durusdinium17345	K02295
OG0001850	Durusdinium40219	K11592
OG0000011	Durusdinium19001	K08857
OG0004102	Durusdinium14699	K00567
OG0000897	Durusdinium37187	K00771
OG0002615	Durusdinium14241	K04515
OG0000201	Durusdinium35947	K04955
OG0003680	Durusdinium33282	K00109
OG0000885	Durusdinium38717	K12573
OG0000507	Durusdinium27355	K11625
OG0001887	Durusdinium23883	K01940
OG0006395	Durusdinium48846	K15433
OG0000315	Durusdinium3170	K02256
OG0000125	Durusdinium40502	K22614
OG0000529	Durusdinium31048	K08288
OG0000068	Durusdinium4806	K01365
OG0001667	Durusdinium25307	K09553
OG0001115	Durusdinium35002	K21989
OG0002981	Durusdinium25585	K00876
OG0000188	Durusdinium40146	K14802
OG0000113	Durusdinium38992	K04345
OG0000049	Durusdinium41041	K09503
OG0003732	Durusdinium13157	K13577
OG0002320	Durusdinium16974	K11087
OG0000016	Durusdinium34397	K06180
OG0005463	Durusdinium31558	K19626
OG0002107	Durusdinium11341	K02920
OG0001648	Durusdinium17375	K16675
OG0000361	Durusdinium5946	K10615
OG0004919	Durusdinium28686	K06689
OG0007457	Durusdinium17230	K04905
OG0001489	Durusdinium26911	K23424
OG0001141	Durusdinium29979	K15504
OG0004909	Durusdinium9244	K24227
OG0006410	Durusdinium30733	K21440
OG0005029	Durusdinium15620	K13447
OG0003019	Durusdinium28524	K01969
OG0001269	Durusdinium12379	K10949
OG0000850	Durusdinium16164	K06221
OG0003952	Durusdinium36045	K10391
OG0000305	Durusdinium39933	K10380
OG0006486	Durusdinium21245	K02148
OG0003249	Durusdinium51756	K14994
OG0001618	Durusdinium52479	K01875
OG0001222	Durusdinium15255	K18670
OG0001503	Durusdinium42057	K11187
OG0000976	Durusdinium30530	K15335
OG0000848	Durusdinium27369	K12389
OG0002735	Durusdinium54440	K03246
OG0000260	Durusdinium55626	K11416
OG0005723	Durusdinium398	K23289
OG0004212	Durusdinium51741	K11971
OG0000589	Durusdinium25636	K11209
OG0006651	Durusdinium28861	K12493
OG0004378	Durusdinium54984	K14560
OG0000872	Durusdinium22587	K22684
OG0000937	Durusdinium34205	K00472
OG0002189	Durusdinium31638	K01759
OG0004669	Durusdinium18545	K15101
OG0005246	Durusdinium43664	K01076
OG0001781	Durusdinium24404	K19600
OG0000057	Durusdinium25883	K20606
OG0002958	Durusdinium22438	K02183
OG0002001	Durusdinium29253	K04771
OG0005525	Durusdinium4755	K00645
OG0005522	Durusdinium36129	K11594
OG0000864	Durusdinium37360	K04875
OG0000005	Durusdinium39209	K17916
OG0001961	Durusdinium4234	K24468
OG0001662	Durusdinium37383	K20151
OG0007364	Durusdinium25292	K26167
OG0001941	Durusdinium3411	K05665
OG0006610	Durusdinium56285	K07893
OG0006135	Durusdinium50519	K07893
OG0007287	Durusdinium27342	K15272
OG0001202	Durusdinium36083	K01210
OG0000468	Durusdinium24635	K00574
OG0007546	Durusdinium46827	K11323
OG0000003	Durusdinium1985	K21440
OG0000853	Durusdinium33133	K03260
OG0000005	Durusdinium28275	K10394
OG0007003	Durusdinium7476	K15110
OG0003858	Durusdinium37777	K24991
OG0001985	Durusdinium18480	K13615
OG0005883	Durusdinium34516	K08342
OG0000166	Durusdinium35505	K04567
OG0000134	Durusdinium29048	K01769
OG0000090	Durusdinium38605	K13291
OG0003739	Durusdinium39359	K08857
OG0001187	Durusdinium34734	K06180
OG0005999	Durusdinium37271	K15110
OG0000912	Durusdinium32076	K12132
OG0000933	Durusdinium19806	K03404
OG0000425	Durusdinium37076	K10901
OG0003845	Durusdinium25209	K05791
OG0000021	Durusdinium46240	K22763
OG0000097	Durusdinium28407	K10575
OG0006150	Durusdinium50162	K11755
OG0000160	Durusdinium4289	K16281
OG0002170	Durusdinium29647	K02183
OG0000533	Durusdinium36998	K00326
OG0007353	Durusdinium20545	K01183
OG0001581	Durusdinium11953	K10666
OG0000709	Durusdinium49755	K03929
OG0005149	Durusdinium42773	K08678
OG0002490	Durusdinium29940	K04905
OG0003865	Durusdinium23299	K12166
OG0006269	Durusdinium33892	K11594
OG0001624	Durusdinium54280	K04077
OG0000029	Durusdinium33973	K04905
OG0001247	Durusdinium25785	K01139
OG0005555	Durusdinium22503	K13126
OG0000340	Durusdinium49098	K12373
OG0000034	Durusdinium33859	K12820
OG0000862	Durusdinium40392	K10407
OG0003071	Durusdinium52443	K19029
OG0005158	Durusdinium30165	K00471
OG0000357	Durusdinium21633	K24205
OG0000040	Durusdinium48926	K13293
OG0001484	Durusdinium39589	K03215
OG0000058	Durusdinium35599	K04648
OG0001330	Durusdinium18833	K01493
OG0003486	Durusdinium28980	K18880
OG0005123	Durusdinium15350	K00486
OG0000451	Durusdinium33077	K00889
OG0000005	Durusdinium37448	K10398
OG0000002	Durusdinium40345	K17710
OG0003517	Durusdinium37724	K10586
OG0006841	Durusdinium4837	K00799
OG0004575	Durusdinium35229	K15920
OG0000969	Durusdinium39434	K11703
OG0001748	Durusdinium13545	K00485
OG0000034	Durusdinium37252	K03579
OG0002473	Durusdinium30623	K16726
OG0000134	Durusdinium35902	K12323
OG0006894	Durusdinium2982	K12175
OG0005998	Durusdinium30074	K10592
OG0002975	Durusdinium40130	K08292
OG0006251	Durusdinium49544	K13125
OG0000509	Durusdinium41156	K09608
OG0002533	Durusdinium17894	K24982
OG0000759	Durusdinium17981	K00164
OG0005446	Durusdinium32636	K09602
OG0003853	Durusdinium29	K09578
OG0001521	Durusdinium30536	K01510
OG0000435	Durusdinium30309	K10591
OG0007410	Durusdinium33296	K20032
OG0001630	Durusdinium5790	K23048
OG0002277	Durusdinium8538	K15119
OG0000088	Durusdinium8658	K07376
OG0000002	Durusdinium30527	K17710
OG0001623	Durusdinium24037	K03599
OG0003986	Durusdinium52311	K20318
OG0000066	Durusdinium20047	K17499
OG0000017	Durusdinium39392	K04905
OG0000004	Durusdinium39870	K08794
OG0002661	Durusdinium29176	K03281
OG0000139	Durusdinium35879	K00710
OG0002246	Durusdinium55695	K10632
OG0007045	Durusdinium18138	K12611
OG0000521	Durusdinium2190	K04371
OG0002658	Durusdinium2233	K20029
OG0005935	Durusdinium40706	K12850
OG0002084	Durusdinium40631	K01880
OG0007460	Durusdinium23321	K15738
OG0000648	Durusdinium34217	K00914
OG0000639	Durusdinium21161	K17725
OG0000309	Durusdinium6886	K22762
OG0000413	Durusdinium35387	K06515
OG0000472	Durusdinium11635	K10669
OG0006147	Durusdinium48998	K10436
OG0001741	Durusdinium55401	K12862
OG0000261	Durusdinium36410	K22809
OG0000068	Durusdinium36089	K25900
OG0000948	Durusdinium11352	K02945
OG0000707	Durusdinium9096	K17943
OG0006398	Durusdinium19739	K09259
OG0001434	Durusdinium30272	K17619
OG0002657	Durusdinium37119	K18055
OG0005394	Durusdinium55000	K03038
OG0002477	Durusdinium52958	K13566
OG0001577	Durusdinium15170	K14803
OG0001449	Durusdinium14391	K15210
OG0000478	Durusdinium18310	K10408
OG0003894	Durusdinium2582	K03686
OG0001285	Durusdinium54825	K14411
OG0005591	Durusdinium18062	K09578
OG0000499	Durusdinium18745	K09540
OG0000056	Durusdinium39074	K11426
OG0007077	Durusdinium22271	K01529
OG0006172	Durusdinium2578	K01488
OG0007382	Durusdinium8188	K12832
OG0000676	Durusdinium32622	K03006
OG0000358	Durusdinium31454	K10967
OG0005036	Durusdinium31822	K12132
OG0006689	Durusdinium37326	K20198
OG0002392	Durusdinium38977	K00108
OG0000725	Durusdinium37729	K20176
OG0000258	Durusdinium36844	K18561
OG0001342	Durusdinium36359	K06158
OG0007478	Durusdinium42524	K12892
OG0000008	Durusdinium52117	K03686
OG0006934	Durusdinium25677	K03142
OG0003737	Durusdinium49599	K09843
OG0002935	Durusdinium33698	K24927
OG0002837	Durusdinium9725	K15112
OG0002301	Durusdinium30340	K08189
OG0000028	Durusdinium36253	K23330
OG0000574	Durusdinium10400	K04739
OG0005416	Durusdinium29622	K03593
OG0000317	Durusdinium13548	K14286
OG0002860	Durusdinium4518	K16639
OG0007339	Durusdinium25356	K17513
OG0003708	Durusdinium29037	K00856
OG0000011	Durusdinium26315	K20877
OG0003599	Durusdinium37048	K13963
OG0002864	Durusdinium17301	K03027
OG0000063	Durusdinium32779	K00545
OG0000962	Durusdinium20362	K01379
OG0000965	Durusdinium28337	K01081
OG0000325	Durusdinium18106	K24193
OG0005535	Durusdinium29681	K13807
OG0000520	Durusdinium7167	K22390
OG0000353	Durusdinium11262	K02183
OG0000221	Durusdinium25299	K16675
OG0001255	Durusdinium45842	K02154
OG0000126	Durusdinium34946	K04043
OG0003661	Durusdinium32231	K00486
OG0000729	Durusdinium36991	K01006
OG0000403	Durusdinium43533	K00939
OG0006845	Durusdinium35195	K24230
OG0002251	Durusdinium35561	K00810
OG0000148	Durusdinium33611	K01379
OG0002266	Durusdinium34298	K14442
OG0000005	Durusdinium23282	K17916
OG0006641	Durusdinium39180	K09580
OG0000280	Durusdinium40308	K10407
OG0003988	Durusdinium34003	K06941
OG0000087	Durusdinium15704	K22721
OG0004434	Durusdinium46905	K17710
OG0000799	Durusdinium36807	K18055
OG0003528	Durusdinium43115	K01465
OG0000414	Durusdinium38695	K13448
OG0000842	Durusdinium26121	K02216
OG0000016	Durusdinium28085	K06180
OG0005440	Durusdinium25201	K24929
OG0001795	Durusdinium54328	K03671
OG0002754	Durusdinium15316	K04771
OG0000866	Durusdinium8069	K14540
OG0004842	Durusdinium37408	K18597
OG0002807	Durusdinium36370	K15258
OG0000041	Durusdinium19123	K13412
OG0007049	Durusdinium18209	K14209
OG0000423	Durusdinium16439	K14521
OG0003800	Durusdinium24294	K01112
OG0002976	Durusdinium43714	K09554
OG0006158	Durusdinium16665	K08176
OG0005266	Durusdinium22964	K20876
OG0000930	Durusdinium10970	K19199
OG0000896	Durusdinium19272	K14793
OG0001382	Durusdinium37308	K19947
OG0000091	Durusdinium41289	K08286
OG0007488	Durusdinium37423	K19041
OG0001796	Durusdinium40459	K01915
OG0004008	Durusdinium49083	K24745
OG0000682	Durusdinium18698	K15042
OG0007234	Durusdinium20243	K09861
OG0005782	Durusdinium19877	K01662
OG0005221	Durusdinium16101	K09567
OG0000826	Durusdinium36770	K19612
OG0005831	Durusdinium19814	K14501
OG0001154	Durusdinium44290	K12447
OG0000975	Durusdinium2255	K01176
OG0001752	Durusdinium28821	K03294
OG0000018	Durusdinium26379	K01802
OG0003711	Durusdinium52448	K11610
OG0002756	Durusdinium39543	K04978
OG0001743	Durusdinium3125	K05884
OG0002916	Durusdinium37438	K00387
OG0000361	Durusdinium54593	K10615
OG0003349	Durusdinium15431	K12486
OG0003794	Durusdinium3455	K22074
OG0002059	Durusdinium33630	K24523
OG0002380	Durusdinium17170	K01103
OG0000478	Durusdinium9538	K10408
OG0001323	Durusdinium39047	K09255
OG0000868	Durusdinium41488	K06911
OG0000188	Durusdinium40256	K14802
OG0002654	Durusdinium38413	K02516
OG0002769	Durusdinium35712	K13412
OG0005293	Durusdinium31901	K07297
OG0005170	Durusdinium42966	K13886
OG0004422	Durusdinium50230	K15376
OG0000003	Durusdinium43212	K09255
OG0005688	Durusdinium1672	K02690
OG0000514	Durusdinium38917	K10367
OG0000051	Durusdinium9900	K03063
OG0001150	Durusdinium30641	K11426
OG0000017	Durusdinium28330	K04905
OG0005938	Durusdinium20145	K20347
OG0000521	Durusdinium30036	K04371
OG0001633	Durusdinium21181	K11426
OG0001147	Durusdinium33184	K16608
OG0000358	Durusdinium35483	K10967
OG0003478	Durusdinium26127	K03022
OG0006901	Durusdinium33484	K00318
OG0005793	Durusdinium15498	K08151
OG0003482	Durusdinium27851	K03929
OG0001885	Durusdinium26737	K03686
OG0007648	Durusdinium41651	K05337
OG0001572	Durusdinium39648	K11541
OG0000353	Durusdinium26736	K13448
OG0000686	Durusdinium28011	K07342
OG0006620	Durusdinium34779	K19760
OG0002508	Durusdinium41857	K09510
OG0000767	Durusdinium5746	K20416
OG0002703	Durusdinium33311	K16457
OG0002627	Durusdinium35945	K09514
OG0001656	Durusdinium22322	K22761
OG0002712	Durusdinium10410	K00052
OG0005616	Durusdinium14409	K22763
OG0004716	Durusdinium52987	K15028
OG0004339	Durusdinium7248	K00831
OG0003840	Durusdinium28734	K08869
OG0000346	Durusdinium29108	K15261
OG0000053	Durusdinium4250	K08957
OG0000615	Durusdinium43978	K04930
OG0000028	Durusdinium39355	K23330
OG0004782	Durusdinium51596	K19760
OG0001501	Durusdinium1795	K00031
OG0000699	Durusdinium38507	K13412
OG0000444	Durusdinium37612	K07677
OG0000041	Durusdinium39978	K12132
OG0006068	Durusdinium35939	K00545
OG0001398	Durusdinium33506	K13177
OG0005392	Durusdinium28484	K10390
OG0000349	Durusdinium35435	K00472
OG0006760	Durusdinium7205	K23257
OG0004509	Durusdinium50632	K27833
OG0001652	Durusdinium12481	K19760
OG0007559	Durusdinium24115	K00654
OG0001324	Durusdinium17287	K14947
OG0004453	Durusdinium38144	K02898
OG0000967	Durusdinium41911	K12891
OG0000194	Durusdinium29145	K11858
OG0002460	Durusdinium34987	K03307
OG0001289	Durusdinium23812	K24939
OG0002648	Durusdinium14939	K23628
OG0001929	Durusdinium48912	K15109
OG0007235	Durusdinium32475	K16310
OG0004257	Durusdinium30648	K07024
OG0001648	Durusdinium33049	K16675
OG0000003	Durusdinium9020	K09255
OG0005389	Durusdinium7862	K17361
OG0005027	Durusdinium39806	K11274
OG0005305	Durusdinium9044	K00059
OG0002995	Durusdinium32572	K02303
OG0005100	Durusdinium43130	K13448
OG0004141	Durusdinium17685	K09512
OG0002544	Durusdinium30106	K01768
OG0000261	Durusdinium27032	K22809
OG0005597	Durusdinium33675	K11816
OG0000572	Durusdinium54554	K00264
OG0001486	Durusdinium52534	K04487
OG0001583	Durusdinium34537	K26273
OG0000788	Durusdinium2964	K20899
OG0000008	Durusdinium3625	K03686
OG0005013	Durusdinium2931	K01874
OG0002544	Durusdinium30847	K01768
OG0000633	Durusdinium380	K22763
OG0000090	Durusdinium37736	K13291
OG0000012	Durusdinium4208	K04043
OG0003756	Durusdinium28721	K03231
OG0002429	Durusdinium39679	K19525
OG0002860	Durusdinium35758	K16639
OG0006428	Durusdinium29775	K08193
OG0006827	Durusdinium34662	K02906
OG0002293	Durusdinium41949	K03500
OG0000123	Durusdinium39374	K08796
OG0006043	Durusdinium36341	K03931
OG0000553	Durusdinium12377	K06158
OG0000211	Durusdinium47383	K09502
OG0003151	Durusdinium8003	K15335
OG0000159	Durusdinium18732	K20715
OG0000214	Durusdinium25852	K14207
OG0000123	Durusdinium35652	K12132
OG0005711	Durusdinium3791	K03321
OG0001533	Durusdinium30254	K13750
OG0007352	Durusdinium16701	K09549
OG0000003	Durusdinium35148	K09255
OG0000850	Durusdinium52586	K06221
OG0005909	Durusdinium55126	K26736
OG0005084	Durusdinium15664	K08281
OG0002579	Durusdinium52063	K15202
OG0002628	Durusdinium8226	K02998
OG0006824	Durusdinium12033	K03014
