Orthogroup	Protein_symD	Protein_symB
OG0000000	Durusdinium34122	Breviolum692656
OG0000000	Durusdinium34122	Breviolum230512
OG0000000	Durusdinium34122	Breviolum257420
OG0000000	Durusdinium34122	Breviolum147720
OG0000000	Durusdinium34122	Breviolum630359
OG0000000	Durusdinium34122	Breviolum690971
OG0000000	Durusdinium34122	Breviolum207199
OG0000000	Durusdinium34122	Breviolum766434
OG0000000	Durusdinium34122	Breviolum841493
OG0000000	Durusdinium34122	Breviolum686308
OG0000000	Durusdinium34122	Breviolum310742
OG0000000	Durusdinium34122	Breviolum730955
OG0000000	Durusdinium34122	Breviolum372192
OG0000000	Durusdinium34122	Breviolum539159
OG0000000	Durusdinium34122	Breviolum328796
OG0000000	Durusdinium34122	Breviolum258620
OG0000000	Durusdinium34122	Breviolum192482
OG0000000	Durusdinium34122	Breviolum257582
OG0000000	Durusdinium34122	Breviolum96586
OG0000000	Durusdinium34122	Breviolum689318
OG0000000	Durusdinium34122	Breviolum531821
OG0000000	Durusdinium34122	Breviolum380468
OG0000000	Durusdinium34122	Breviolum230919
OG0000000	Durusdinium34122	Breviolum224835
OG0000001	Durusdinium4339	Breviolum652706
OG0000001	Durusdinium32853	Breviolum531716
OG0000001	Durusdinium23211	Breviolum531716
OG0000001	Durusdinium35909	Breviolum857825
OG0000001	Durusdinium35909	Breviolum395321
OG0000001	Durusdinium16162	Breviolum857825
OG0000001	Durusdinium16162	Breviolum395321
OG0000001	Durusdinium44279	Breviolum224554
OG0000001	Durusdinium29966	Breviolum558388
OG0000001	Durusdinium29966	Breviolum319606
OG0000001	Durusdinium29966	Breviolum850573
OG0000001	Durusdinium29966	Breviolum499757
OG0000001	Durusdinium29966	Breviolum59983
OG0000001	Durusdinium29966	Breviolum895392
OG0000001	Durusdinium29966	Breviolum113810
OG0000001	Durusdinium37774	Breviolum558388
OG0000001	Durusdinium37774	Breviolum319606
OG0000001	Durusdinium37774	Breviolum850573
OG0000001	Durusdinium37774	Breviolum499757
OG0000001	Durusdinium37774	Breviolum59983
OG0000001	Durusdinium37774	Breviolum895392
OG0000001	Durusdinium37774	Breviolum113810
OG0000001	Durusdinium38485	Breviolum613184
OG0000001	Durusdinium38485	Breviolum524338
OG0000001	Durusdinium38485	Breviolum854088
OG0000001	Durusdinium6628	Breviolum613184
OG0000001	Durusdinium6628	Breviolum524338
OG0000001	Durusdinium6628	Breviolum854088
OG0000001	Durusdinium26358	Breviolum688598
OG0000001	Durusdinium26253	Breviolum688598
OG0000001	Durusdinium30260	Breviolum252701
OG0000001	Durusdinium30260	Breviolum5211
OG0000001	Durusdinium30260	Breviolum20770
OG0000001	Durusdinium30260	Breviolum529010
OG0000001	Durusdinium30260	Breviolum654390
OG0000001	Durusdinium41553	Breviolum59262
OG0000001	Durusdinium32804	Breviolum59262
OG0000001	Durusdinium26995	Breviolum59262
OG0000001	Durusdinium5500	Breviolum59262
OG0000001	Durusdinium32983	Breviolum697744
OG0000001	Durusdinium32983	Breviolum197787
OG0000001	Durusdinium32983	Breviolum817820
OG0000001	Durusdinium32983	Breviolum103005
OG0000001	Durusdinium26383	Breviolum129143
OG0000001	Durusdinium26383	Breviolum123825
OG0000001	Durusdinium26383	Breviolum533204
OG0000001	Durusdinium30099	Breviolum279971
OG0000001	Durusdinium31967	Breviolum279971
OG0000001	Durusdinium38036	Breviolum135362
OG0000001	Durusdinium33288	Breviolum287094
OG0000001	Durusdinium33288	Breviolum849120
OG0000001	Durusdinium33288	Breviolum275987
OG0000001	Durusdinium33288	Breviolum167211
OG0000001	Durusdinium33288	Breviolum290259
OG0000001	Durusdinium33288	Breviolum843868
OG0000001	Durusdinium33288	Breviolum893724
OG0000001	Durusdinium33288	Breviolum247676
OG0000001	Durusdinium33288	Breviolum4572
OG0000003	Durusdinium41341	Breviolum32899
OG0000003	Durusdinium41341	Breviolum871594
OG0000003	Durusdinium2431	Breviolum231123
OG0000003	Durusdinium34946	Breviolum285143
OG0000004	Durusdinium41979	Breviolum552294
OG0000004	Durusdinium41979	Breviolum615746
OG0000004	Durusdinium41979	Breviolum26049
OG0000004	Durusdinium41979	Breviolum861305
OG0000004	Durusdinium41979	Breviolum104605
OG0000004	Durusdinium41979	Breviolum361645
OG0000004	Durusdinium41979	Breviolum134690
OG0000004	Durusdinium41979	Breviolum813184
OG0000004	Durusdinium41979	Breviolum246266
OG0000004	Durusdinium41979	Breviolum773243
OG0000004	Durusdinium41979	Breviolum614174
OG0000004	Durusdinium41979	Breviolum94947
OG0000004	Durusdinium41979	Breviolum798156
OG0000004	Durusdinium41979	Breviolum218379
OG0000004	Durusdinium41979	Breviolum359806
OG0000004	Durusdinium41979	Breviolum684620
OG0000004	Durusdinium41979	Breviolum892916
OG0000004	Durusdinium41979	Breviolum217054
OG0000004	Durusdinium41979	Breviolum68588
OG0000004	Durusdinium41979	Breviolum216590
OG0000004	Durusdinium41979	Breviolum790880
OG0000004	Durusdinium41979	Breviolum608479
OG0000004	Durusdinium41979	Breviolum221957
OG0000004	Durusdinium41979	Breviolum469034
OG0000004	Durusdinium41979	Breviolum370441
OG0000004	Durusdinium41979	Breviolum867089
OG0000004	Durusdinium41979	Breviolum633306
OG0000004	Durusdinium41979	Breviolum140292
OG0000004	Durusdinium41979	Breviolum191413
OG0000004	Durusdinium41979	Breviolum21891
OG0000004	Durusdinium41979	Breviolum197521
OG0000004	Durusdinium41979	Breviolum612718
OG0000004	Durusdinium41979	Breviolum692985
OG0000004	Durusdinium41979	Breviolum845899
OG0000004	Durusdinium41979	Breviolum542291
OG0000004	Durusdinium41979	Breviolum729388
OG0000004	Durusdinium41979	Breviolum538210
OG0000004	Durusdinium41979	Breviolum561806
OG0000004	Durusdinium41979	Breviolum528401
OG0000004	Durusdinium41979	Breviolum526236
OG0000004	Durusdinium41979	Breviolum15807
OG0000004	Durusdinium41979	Breviolum610227
OG0000004	Durusdinium41979	Breviolum74784
OG0000004	Durusdinium41979	Breviolum212066
OG0000004	Durusdinium41979	Breviolum483594
OG0000004	Durusdinium41979	Breviolum499441
OG0000004	Durusdinium41979	Breviolum698311
OG0000004	Durusdinium41979	Breviolum93950
OG0000004	Durusdinium41979	Breviolum682060
OG0000004	Durusdinium41979	Breviolum246291
OG0000004	Durusdinium41979	Breviolum99124
OG0000004	Durusdinium41979	Breviolum387682
OG0000004	Durusdinium41979	Breviolum481494
OG0000004	Durusdinium41979	Breviolum700785
OG0000004	Durusdinium41979	Breviolum39876
OG0000004	Durusdinium41979	Breviolum32705
OG0000004	Durusdinium41979	Breviolum26764
OG0000004	Durusdinium41979	Breviolum774904
OG0000005	Durusdinium1760	Breviolum866059
OG0000005	Durusdinium41382	Breviolum97335
OG0000005	Durusdinium52679	Breviolum704161
OG0000005	Durusdinium52679	Breviolum682457
OG0000005	Durusdinium6618	Breviolum230193
OG0000005	Durusdinium25685	Breviolum606727
OG0000005	Durusdinium25685	Breviolum841983
OG0000005	Durusdinium1604	Breviolum244930
OG0000005	Durusdinium39870	Breviolum33451
OG0000005	Durusdinium35657	Breviolum17936
OG0000005	Durusdinium34307	Breviolum320708
OG0000005	Durusdinium38112	Breviolum527647
OG0000005	Durusdinium38112	Breviolum252440
OG0000005	Durusdinium38112	Breviolum251608
OG0000005	Durusdinium4944	Breviolum218547
OG0000005	Durusdinium33323	Breviolum336051
OG0000005	Durusdinium41304	Breviolum553137
OG0000005	Durusdinium40905	Breviolum630601
OG0000005	Durusdinium18075	Breviolum630601
OG0000005	Durusdinium33819	Breviolum630601
OG0000005	Durusdinium24380	Breviolum858981
OG0000005	Durusdinium24380	Breviolum302325
OG0000005	Durusdinium24671	Breviolum161810
OG0000005	Durusdinium38703	Breviolum161810
OG0000005	Durusdinium36715	Breviolum161810
OG0000007	Durusdinium26071	Breviolum401824
OG0000007	Durusdinium23871	Breviolum602106
OG0000007	Durusdinium18500	Breviolum189416
OG0000007	Durusdinium49120	Breviolum353852
OG0000007	Durusdinium45877	Breviolum684236
OG0000007	Durusdinium14866	Breviolum816666
OG0000007	Durusdinium42852	Breviolum766867
OG0000007	Durusdinium2933	Breviolum766867
OG0000007	Durusdinium25001	Breviolum461608
OG0000007	Durusdinium28291	Breviolum461608
OG0000007	Durusdinium19090	Breviolum461608
OG0000007	Durusdinium54821	Breviolum461608
OG0000007	Durusdinium40058	Breviolum420912
OG0000007	Durusdinium884	Breviolum420912
OG0000007	Durusdinium46943	Breviolum420912
OG0000007	Durusdinium36200	Breviolum344877
OG0000007	Durusdinium55117	Breviolum614565
OG0000007	Durusdinium4494	Breviolum614565
OG0000007	Durusdinium28003	Breviolum614565
OG0000007	Durusdinium46763	Breviolum614565
OG0000007	Durusdinium10218	Breviolum614565
OG0000007	Durusdinium24356	Breviolum614565
OG0000007	Durusdinium21611	Breviolum614565
OG0000007	Durusdinium9158	Breviolum462458
OG0000007	Durusdinium33984	Breviolum462458
OG0000008	Durusdinium40752	Breviolum201026
OG0000008	Durusdinium40752	Breviolum41070
OG0000008	Durusdinium40752	Breviolum229029
OG0000008	Durusdinium40752	Breviolum243945
OG0000008	Durusdinium40752	Breviolum215525
OG0000008	Durusdinium40752	Breviolum76813
OG0000008	Durusdinium40752	Breviolum241888
OG0000008	Durusdinium40752	Breviolum155801
OG0000008	Durusdinium40752	Breviolum186522
OG0000008	Durusdinium40752	Breviolum231183
OG0000008	Durusdinium40752	Breviolum50668
OG0000008	Durusdinium40752	Breviolum213568
OG0000008	Durusdinium40752	Breviolum637877
OG0000008	Durusdinium40752	Breviolum239067
OG0000008	Durusdinium40752	Breviolum363294
OG0000008	Durusdinium40752	Breviolum342373
OG0000008	Durusdinium40752	Breviolum220765
OG0000008	Durusdinium40752	Breviolum336761
OG0000008	Durusdinium40752	Breviolum200870
OG0000008	Durusdinium40752	Breviolum270730
OG0000008	Durusdinium40752	Breviolum371033
OG0000008	Durusdinium40752	Breviolum227862
OG0000008	Durusdinium40752	Breviolum29621
OG0000008	Durusdinium40752	Breviolum340211
OG0000008	Durusdinium40752	Breviolum34324
OG0000008	Durusdinium40752	Breviolum24542
OG0000008	Durusdinium40752	Breviolum685698
OG0000008	Durusdinium40752	Breviolum352283
OG0000008	Durusdinium40752	Breviolum226920
OG0000008	Durusdinium40752	Breviolum298452
OG0000008	Durusdinium40752	Breviolum536264
OG0000008	Durusdinium40752	Breviolum636509
OG0000008	Durusdinium40752	Breviolum415112
OG0000008	Durusdinium40752	Breviolum233514
OG0000008	Durusdinium40752	Breviolum784225
OG0000008	Durusdinium40752	Breviolum179573
OG0000008	Durusdinium40752	Breviolum890590
OG0000008	Durusdinium40752	Breviolum193329
OG0000008	Durusdinium40752	Breviolum606719
OG0000008	Durusdinium40752	Breviolum248731
OG0000008	Durusdinium40752	Breviolum285162
OG0000008	Durusdinium40752	Breviolum327532
OG0000008	Durusdinium40752	Breviolum275230
OG0000008	Durusdinium40752	Breviolum408061
OG0000008	Durusdinium40752	Breviolum183914
OG0000008	Durusdinium40752	Breviolum100250
OG0000008	Durusdinium40752	Breviolum154530
OG0000008	Durusdinium40752	Breviolum221022
OG0000008	Durusdinium40752	Breviolum607918
OG0000009	Durusdinium48852	Breviolum852429
OG0000009	Durusdinium48852	Breviolum761991
OG0000009	Durusdinium48852	Breviolum691181
OG0000009	Durusdinium48852	Breviolum633527
OG0000009	Durusdinium48852	Breviolum150542
OG0000009	Durusdinium48852	Breviolum377313
OG0000009	Durusdinium48852	Breviolum259471
OG0000009	Durusdinium48852	Breviolum660018
OG0000009	Durusdinium48852	Breviolum821610
OG0000009	Durusdinium48852	Breviolum212510
OG0000009	Durusdinium48852	Breviolum210212
OG0000009	Durusdinium48852	Breviolum462123
OG0000009	Durusdinium48852	Breviolum197777
OG0000009	Durusdinium48852	Breviolum342443
OG0000009	Durusdinium48852	Breviolum794809
OG0000009	Durusdinium48852	Breviolum98558
OG0000009	Durusdinium48852	Breviolum192873
OG0000009	Durusdinium48852	Breviolum528729
OG0000009	Durusdinium48852	Breviolum192362
OG0000009	Durusdinium48852	Breviolum541045
OG0000009	Durusdinium48852	Breviolum874749
OG0000009	Durusdinium48852	Breviolum369504
OG0000009	Durusdinium48852	Breviolum536933
OG0000009	Durusdinium48852	Breviolum444672
OG0000009	Durusdinium48852	Breviolum418870
OG0000009	Durusdinium48852	Breviolum219093
OG0000009	Durusdinium48852	Breviolum266229
OG0000009	Durusdinium48852	Breviolum633541
OG0000009	Durusdinium48852	Breviolum683382
OG0000009	Durusdinium48852	Breviolum762997
OG0000009	Durusdinium48852	Breviolum208187
OG0000009	Durusdinium48852	Breviolum428256
OG0000009	Durusdinium48852	Breviolum712816
OG0000009	Durusdinium48852	Breviolum505015
OG0000009	Durusdinium48852	Breviolum427511
OG0000009	Durusdinium48852	Breviolum254460
OG0000009	Durusdinium48852	Breviolum609627
OG0000009	Durusdinium48852	Breviolum57499
OG0000009	Durusdinium48852	Breviolum386838
OG0000009	Durusdinium48852	Breviolum180773
OG0000009	Durusdinium48852	Breviolum895268
OG0000009	Durusdinium48852	Breviolum340717
OG0000009	Durusdinium48852	Breviolum390337
OG0000009	Durusdinium48852	Breviolum408168
OG0000009	Durusdinium48852	Breviolum304558
OG0000009	Durusdinium48852	Breviolum213428
OG0000009	Durusdinium48852	Breviolum292564
OG0000011	Durusdinium9266	Breviolum97291
OG0000011	Durusdinium9266	Breviolum226191
OG0000011	Durusdinium9266	Breviolum334119
OG0000011	Durusdinium9266	Breviolum445170
OG0000011	Durusdinium9266	Breviolum38669
OG0000011	Durusdinium9266	Breviolum201169
OG0000011	Durusdinium9266	Breviolum198428
OG0000011	Durusdinium9266	Breviolum198374
OG0000011	Durusdinium9266	Breviolum382713
OG0000011	Durusdinium9266	Breviolum726834
OG0000011	Durusdinium9266	Breviolum294161
OG0000011	Durusdinium9266	Breviolum293555
OG0000011	Durusdinium9266	Breviolum308592
OG0000011	Durusdinium9266	Breviolum405088
OG0000011	Durusdinium9266	Breviolum162517
OG0000011	Durusdinium9266	Breviolum522752
OG0000011	Durusdinium9266	Breviolum402191
OG0000011	Durusdinium9266	Breviolum446158
OG0000011	Durusdinium9266	Breviolum422735
OG0000011	Durusdinium9266	Breviolum285000
OG0000011	Durusdinium9266	Breviolum1963
OG0000011	Durusdinium9266	Breviolum768419
OG0000011	Durusdinium9266	Breviolum436654
OG0000011	Durusdinium9266	Breviolum192226
OG0000011	Durusdinium9266	Breviolum423591
OG0000011	Durusdinium9266	Breviolum331604
OG0000011	Durusdinium9266	Breviolum431198
OG0000011	Durusdinium9266	Breviolum215916
OG0000011	Durusdinium9266	Breviolum435649
OG0000011	Durusdinium9266	Breviolum165336
OG0000011	Durusdinium9266	Breviolum207138
OG0000011	Durusdinium9266	Breviolum619778
OG0000011	Durusdinium9266	Breviolum245889
OG0000011	Durusdinium9266	Breviolum166473
OG0000011	Durusdinium9266	Breviolum632044
OG0000011	Durusdinium9266	Breviolum770404
OG0000011	Durusdinium9266	Breviolum658362
OG0000011	Durusdinium9266	Breviolum641082
OG0000011	Durusdinium9266	Breviolum229641
OG0000011	Durusdinium9266	Breviolum97479
OG0000011	Durusdinium9266	Breviolum859985
OG0000011	Durusdinium9266	Breviolum776552
OG0000011	Durusdinium9266	Breviolum416425
OG0000012	Durusdinium17503	Breviolum693093
OG0000012	Durusdinium17503	Breviolum771770
OG0000012	Durusdinium17503	Breviolum225207
OG0000012	Durusdinium17503	Breviolum225905
OG0000012	Durusdinium17503	Breviolum622367
OG0000012	Durusdinium17503	Breviolum5477
OG0000012	Durusdinium17503	Breviolum654551
OG0000012	Durusdinium17503	Breviolum418985
OG0000012	Durusdinium17503	Breviolum779551
OG0000012	Durusdinium17503	Breviolum161666
OG0000012	Durusdinium17503	Breviolum428678
OG0000012	Durusdinium17503	Breviolum805152
OG0000012	Durusdinium17503	Breviolum341675
OG0000012	Durusdinium17503	Breviolum700849
OG0000012	Durusdinium17503	Breviolum424245
OG0000012	Durusdinium17503	Breviolum429946
OG0000012	Durusdinium17503	Breviolum429053
OG0000012	Durusdinium17503	Breviolum447412
OG0000012	Durusdinium17503	Breviolum475958
OG0000012	Durusdinium17503	Breviolum412626
OG0000012	Durusdinium17503	Breviolum444189
OG0000012	Durusdinium17503	Breviolum529491
OG0000012	Durusdinium17503	Breviolum339944
OG0000012	Durusdinium17503	Breviolum232216
OG0000012	Durusdinium17503	Breviolum389440
OG0000012	Durusdinium17503	Breviolum352222
OG0000012	Durusdinium17503	Breviolum450479
OG0000012	Durusdinium17503	Breviolum762331
OG0000012	Durusdinium17503	Breviolum317485
OG0000012	Durusdinium17503	Breviolum657385
OG0000012	Durusdinium17503	Breviolum317669
OG0000012	Durusdinium17503	Breviolum202933
OG0000012	Durusdinium17503	Breviolum405412
OG0000012	Durusdinium17503	Breviolum282514
OG0000012	Durusdinium17503	Breviolum287586
OG0000012	Durusdinium17503	Breviolum800441
OG0000012	Durusdinium17503	Breviolum450354
OG0000012	Durusdinium17503	Breviolum411586
OG0000012	Durusdinium17503	Breviolum878253
OG0000012	Durusdinium17503	Breviolum520323
OG0000012	Durusdinium17503	Breviolum830363
OG0000012	Durusdinium17503	Breviolum257830
OG0000012	Durusdinium17503	Breviolum319531
OG0000013	Durusdinium24201	Breviolum61009
OG0000013	Durusdinium36742	Breviolum296636
OG0000013	Durusdinium24357	Breviolum296636
OG0000013	Durusdinium18091	Breviolum296636
OG0000013	Durusdinium30970	Breviolum296636
OG0000013	Durusdinium35555	Breviolum296636
OG0000013	Durusdinium40430	Breviolum694282
OG0000013	Durusdinium35884	Breviolum694282
OG0000013	Durusdinium40284	Breviolum694282
OG0000014	Durusdinium36089	Breviolum529844
OG0000014	Durusdinium44270	Breviolum773251
OG0000014	Durusdinium6261	Breviolum379722
OG0000014	Durusdinium36685	Breviolum403930
OG0000014	Durusdinium22897	Breviolum615686
OG0000014	Durusdinium22897	Breviolum303186
OG0000014	Durusdinium22897	Breviolum444209
OG0000014	Durusdinium22897	Breviolum313721
OG0000014	Durusdinium22897	Breviolum237483
OG0000014	Durusdinium22897	Breviolum802957
OG0000014	Durusdinium22897	Breviolum577416
OG0000014	Durusdinium22897	Breviolum813703
OG0000014	Durusdinium22897	Breviolum843874
OG0000014	Durusdinium22897	Breviolum492409
OG0000014	Durusdinium22897	Breviolum574965
OG0000014	Durusdinium22897	Breviolum352756
OG0000014	Durusdinium22897	Breviolum901817
OG0000014	Durusdinium22897	Breviolum670045
OG0000014	Durusdinium22897	Breviolum402534
OG0000014	Durusdinium22897	Breviolum266704
OG0000014	Durusdinium22897	Breviolum403564
OG0000014	Durusdinium22897	Breviolum384512
OG0000014	Durusdinium22897	Breviolum400579
OG0000014	Durusdinium22897	Breviolum308966
OG0000014	Durusdinium22897	Breviolum437825
OG0000014	Durusdinium22897	Breviolum536990
OG0000014	Durusdinium22897	Breviolum763516
OG0000014	Durusdinium22897	Breviolum631283
OG0000014	Durusdinium22897	Breviolum706885
OG0000014	Durusdinium22897	Breviolum615385
OG0000014	Durusdinium22897	Breviolum130616
OG0000014	Durusdinium22897	Breviolum315215
OG0000015	Durusdinium40661	Breviolum398494
OG0000015	Durusdinium52289	Breviolum501202
OG0000015	Durusdinium52289	Breviolum407094
OG0000015	Durusdinium52289	Breviolum196754
OG0000015	Durusdinium52289	Breviolum191047
OG0000015	Durusdinium52289	Breviolum197309
OG0000015	Durusdinium52289	Breviolum295509
OG0000015	Durusdinium5516	Breviolum762253
OG0000015	Durusdinium5516	Breviolum695568
OG0000015	Durusdinium16617	Breviolum230852
OG0000015	Durusdinium16617	Breviolum30460
OG0000015	Durusdinium16617	Breviolum529493
OG0000015	Durusdinium29714	Breviolum100580
OG0000015	Durusdinium29714	Breviolum691805
OG0000015	Durusdinium29714	Breviolum842964
OG0000015	Durusdinium29714	Breviolum544395
OG0000015	Durusdinium29714	Breviolum891344
OG0000015	Durusdinium29714	Breviolum327696
OG0000015	Durusdinium19051	Breviolum459718
OG0000015	Durusdinium19051	Breviolum292633
OG0000016	Durusdinium28884	Breviolum796488
OG0000016	Durusdinium17948	Breviolum216209
OG0000016	Durusdinium17572	Breviolum766509
OG0000016	Durusdinium22374	Breviolum311387
OG0000016	Durusdinium36703	Breviolum311387
OG0000016	Durusdinium40086	Breviolum311387
OG0000016	Durusdinium39347	Breviolum311387
OG0000016	Durusdinium35805	Breviolum190958
OG0000016	Durusdinium35805	Breviolum800480
OG0000016	Durusdinium31384	Breviolum198634
OG0000016	Durusdinium32655	Breviolum461500
OG0000016	Durusdinium39201	Breviolum461500
OG0000016	Durusdinium25994	Breviolum765828
OG0000016	Durusdinium22021	Breviolum765828
OG0000016	Durusdinium37868	Breviolum336239
OG0000016	Durusdinium36818	Breviolum224235
OG0000016	Durusdinium31876	Breviolum275434
OG0000016	Durusdinium36032	Breviolum275434
OG0000016	Durusdinium22764	Breviolum275434
OG0000016	Durusdinium52117	Breviolum247345
OG0000016	Durusdinium52117	Breviolum402358
OG0000017	Durusdinium39065	Breviolum464432
OG0000017	Durusdinium39065	Breviolum197152
OG0000017	Durusdinium39065	Breviolum438045
OG0000017	Durusdinium40332	Breviolum860369
OG0000017	Durusdinium40332	Breviolum104678
OG0000017	Durusdinium40332	Breviolum863215
OG0000017	Durusdinium40332	Breviolum680892
OG0000017	Durusdinium40332	Breviolum196952
OG0000017	Durusdinium40332	Breviolum687263
OG0000017	Durusdinium40332	Breviolum564337
OG0000017	Durusdinium40332	Breviolum815430
OG0000017	Durusdinium40332	Breviolum94872
OG0000017	Durusdinium40332	Breviolum135576
OG0000017	Durusdinium40332	Breviolum856231
OG0000017	Durusdinium40332	Breviolum751405
OG0000017	Durusdinium40332	Breviolum612026
OG0000017	Durusdinium40332	Breviolum106286
OG0000017	Durusdinium40332	Breviolum873780
OG0000017	Durusdinium40332	Breviolum314881
OG0000017	Durusdinium40332	Breviolum33384
OG0000017	Durusdinium40332	Breviolum333120
OG0000017	Durusdinium40332	Breviolum469002
OG0000017	Durusdinium40332	Breviolum476282
OG0000017	Durusdinium40332	Breviolum664907
OG0000017	Durusdinium40332	Breviolum140003
OG0000017	Durusdinium40332	Breviolum537435
OG0000017	Durusdinium40332	Breviolum710478
OG0000017	Durusdinium40332	Breviolum745334
OG0000017	Durusdinium40332	Breviolum605018
OG0000017	Durusdinium40332	Breviolum609258
OG0000017	Durusdinium40332	Breviolum604695
OG0000017	Durusdinium40332	Breviolum569381
OG0000017	Durusdinium40332	Breviolum316646
OG0000017	Durusdinium40332	Breviolum700572
OG0000017	Durusdinium40332	Breviolum46345
OG0000017	Durusdinium40332	Breviolum813118
OG0000017	Durusdinium40332	Breviolum364698
OG0000019	Durusdinium33462	Breviolum305944
OG0000019	Durusdinium19275	Breviolum995
OG0000019	Durusdinium18600	Breviolum995
OG0000019	Durusdinium54997	Breviolum995
OG0000019	Durusdinium40032	Breviolum995
OG0000019	Durusdinium20255	Breviolum995
OG0000019	Durusdinium24396	Breviolum995
OG0000019	Durusdinium35538	Breviolum995
OG0000019	Durusdinium9312	Breviolum995
OG0000019	Durusdinium21069	Breviolum431872
OG0000019	Durusdinium26523	Breviolum431872
OG0000019	Durusdinium30325	Breviolum431872
OG0000019	Durusdinium52837	Breviolum111891
OG0000019	Durusdinium52837	Breviolum545091
OG0000019	Durusdinium1621	Breviolum524992
OG0000019	Durusdinium25539	Breviolum215762
OG0000019	Durusdinium17840	Breviolum169910
OG0000019	Durusdinium38819	Breviolum385572
OG0000019	Durusdinium36839	Breviolum840485
OG0000019	Durusdinium29851	Breviolum460690
OG0000019	Durusdinium29851	Breviolum272968
OG0000019	Durusdinium29851	Breviolum254253
OG0000019	Durusdinium49163	Breviolum840065
OG0000019	Durusdinium24255	Breviolum840065
OG0000020	Durusdinium42742	Breviolum680597
OG0000020	Durusdinium15502	Breviolum218513
OG0000020	Durusdinium4365	Breviolum324799
OG0000020	Durusdinium37591	Breviolum324799
