OG0005813	K06630
OG0003174	K22182
OG0002894	K16289
OG0005520	K15102
OG0001410	K13412
OG0003298	K15283
OG0005632	K19327
OG0004213	K11805
OG0000558	K11153
OG0005871	K08798
OG0001810	K02147
OG0000842	K00249
OG0003197	K09553
OG0002921	K02183
OG0009022	K00872
OG0000979	K01610
OG0004277	K06168
OG0005826	K14209
OG0009354	K00797
OG0007195	K24939
OG0000989	K12460
OG0003604	K22132
OG0007719	K03931
OG0008376	K01135
OG0003542	K23461
OG0000304	K19041
OG0009455	K15264
OG0004801	K20242
OG0002952	K09597
OG0005323	K08151
OG0002088	K22900
OG0005889	K07126
OG0007399	K27312
OG0007303	K05592
OG0001948	K02216
OG0008420	K18437
OG0002446	K20291
OG0004024	K01081
OG0002965	K01379
OG0004267	K14458
OG0008892	K02349
OG0002610	K11547
OG0007517	K05542
OG0002363	K00472
OG0008541	K14079
OG0001290	K09874
OG0009955	K00750
OG0003755	K10414
OG0001370	K24928
OG0007333	K03665
OG0004658	K26236
OG0002039	K02355
OG0007921	K00951
OG0003547	K11092
OG0006862	K08963
OG0000833	K11517
OG0008488	K02372
OG0001270	K26273
OG0000179	K08958
OG0002611	K01076
OG0000458	K12042
OG0008022	K10867
OG0004975	K03438
OG0000243	K04780
OG0001820	K01715
OG0000109	K01876
OG0009325	K13412
OG0003038	K00609
OG0005855	K15026
OG0008703	K00463
OG0005918	K09584
OG0001702	K25450
OG0006309	K10423
OG0006275	K01764
OG0000069	K02984
OG0000780	K04802
OG0003333	K10455
OG0008851	K10418
OG0009717	K10380
OG0009677	K20293
OG0008594	K08790
OG0003487	K11699
OG0006335	K23563
OG0001868	K19882
OG0009398	K27310
OG0002315	K06694
OG0009977	K22757
OG0001336	K02183
OG0009737	K27751
OG0008383	K22746
OG0001225	K11096
OG0000125	K11835
OG0006746	K03447
OG0007583	K14682
OG0003364	K02729
OG0001261	K19755
OG0001801	K26544
OG0007405	K04905
OG0006927	K00084
OG0001123	K08203
OG0001815	K20028
OG0005848	K03019
OG0006226	K07146
OG0008717	K06639
OG0006120	K02183
OG0004377	K18166
OG0000265	K03798
OG0007898	K01115
OG0009433	K09678
OG0003135	K04905
OG0000822	K12430
OG0002466	K03250
OG0000745	K02966
OG0005895	K09580
OG0009402	K13133
OG0000930	K10419
OG0000621	K02969
OG0002056	K21440
OG0006444	K14780
OG0005344	K22647
OG0005442	K20242
OG0004051	K14141
OG0001862	K10840
OG0002525	K08683
OG0001866	K02870
OG0003155	K13525
OG0000781	K11593
OG0007430	K19730
OG0002082	K07374
OG0006515	K14717
OG0002054	K22390
OG0006218	K12946
OG0007868	K03417
OG0006967	K03365
OG0001400	K00871
OG0002316	K04460
OG0009353	K02437
OG0001405	K04883
OG0009347	K06974
OG0000163	K20715
OG0008371	K00760
OG0000680	K15398
OG0006480	K05662
OG0000889	K12450
OG0009673	K00130
OG0003422	K24796
OG0003225	K11366
OG0001961	K16900
OG0006951	K13151
OG0008370	K10860
OG0000075	K05656
OG0003501	K10408
OG0005324	K08193
OG0003977	K02950
OG0007669	K16582
OG0000639	K04345
OG0008666	K03553
OG0002585	K04427
OG0003591	K10411
OG0003770	K16457
OG0005717	K20027
OG0008197	K23451
OG0007709	K23257
OG0000042	K17341
OG0004187	K01438
OG0010020	K00825
OG0007505	K07890
OG0004196	K18121
OG0009638	K23330
OG0009615	K12819
OG0003959	K25461
OG0001265	K21575
OG0007816	K04956
OG0002604	K08857
OG0000446	K01673
OG0004342	K19619
OG0008416	K08997
OG0004215	K05724
OG0004471	K01076
OG0003619	K20526
OG0000818	K21438
OG0010071	K01014
OG0007935	K00823
OG0004604	K00587
OG0008625	K03686
OG0004186	K15463
OG0005347	K00898
OG0002172	K05676
OG0003981	K12433
OG0001456	K02183
OG0005688	K03403
OG0008884	K10590
OG0008556	K10523
OG0001068	K08582
OG0004428	K22763
OG0000897	K10277
OG0002711	K11412
OG0000035	K04957
OG0004144	K04373
OG0007008	K20867
OG0002492	K01070
OG0004539	K15692
OG0001679	K08857
OG0007022	K00045
OG0002864	K12444
OG0005974	K03929
OG0008913	K12348
OG0006149	K00670
OG0003997	K07562
OG0002869	K00102
OG0009225	K10768
OG0008059	K17619
OG0007586	K10734
OG0008524	K24729
OG0003280	K21456
OG0006394	K00898
OG0001362	K08794
OG0007457	K01768
OG0006742	K01897
OG0005427	K00557
OG0004058	K15109
OG0005409	K03686
OG0007890	K02183
OG0008030	K23727
OG0009118	K20198
OG0005996	K08175
OG0002700	K19882
OG0001629	K17943
OG0008836	K01076
OG0006961	K03686
OG0001148	K18059
OG0001781	K21440
OG0003446	K20347
OG0005233	K03292
OG0005886	K00799
OG0004800	K04986
OG0007002	K05516
OG0003756	K03872
OG0008969	K17868
OG0001107	K20889
OG0003947	K10421
OG0007005	K25439
OG0001728	K15502
OG0003890	K15029
OG0004193	K13291
OG0009452	K05931
OG0007609	K00645
OG0006668	K10455
OG0006426	K09592
OG0004833	K25316
OG0008169	K21440
OG0001732	K14510
OG0000350	K09255
OG0006980	K18674
OG0003667	K02328
OG0004482	K25866
OG0008405	K05917
OG0003656	K03036
OG0007377	K07238
OG0000538	K06269
OG0001091	K07126
OG0000020	K04955
OG0006188	K01519
OG0006333	K06515
OG0000903	K14298
OG0000401	K03064
OG0009907	K01692
OG0002526	K06530
OG0006689	K08292
OG0001197	K15378
OG0004774	K01246
OG0004999	K00898
OG0007588	K03439
OG0004452	K08869
OG0000506	K10799
OG0008935	K09584
OG0000362	K04957
OG0005999	K15113
OG0000849	K08176
OG0003453	K15692
OG0003231	K01698
OG0000364	K13045
OG0001965	K10405
OG0008167	K09540
OG0001401	K13412
OG0001844	K03217
OG0004744	K15255
OG0004582	K10290
OG0009034	K00799
OG0003020	K14411
OG0006243	K00846
OG0000735	K04952
OG0007777	K12850
OG0010089	K13179
OG0004073	K15440
OG0000635	K10380
OG0009517	K05681
OG0008957	K16914
OG0002746	K01358
OG0000092	K02183
OG0004544	K24635
OG0008527	K06130
OG0003987	K14262
OG0007034	K00939
OG0005869	K17914
OG0009252	K16914
OG0007812	K00898
OG0007167	K04905
OG0005356	K26544
OG0000115	K12823
OG0009449	K14775
OG0001765	K04853
OG0009374	K17630
OG0000230	K01365
OG0005500	K06943
OG0005629	K14803
OG0003839	K06173
OG0002535	K02183
OG0000595	K11808
OG0003731	K06877
OG0000778	K10408
OG0001541	K08292
OG0004134	K10738
OG0008695	K03424
OG0002733	K00143
OG0007389	K00615
OG0009801	K15376
OG0005562	K06180
OG0007109	K20792
OG0004279	K01011
OG0006542	K06643
OG0006019	K24348
OG0006584	K12450
OG0004655	K08496
OG0001951	K22763
OG0004199	K00773
OG0006956	K00859
OG0007454	K03671
OG0000641	K00488
OG0001657	K09838
OG0006868	K01557
OG0004813	K00545
OG0000208	K04788
OG0000207	K01408
OG0000137	K02155
OG0003716	K01309
OG0002463	K02974
OG0005436	K08857
OG0000046	K15031
OG0001428	K19677
OG0003150	K00477
OG0008084	K14773
OG0003797	K20051
OG0004146	K03978
OG0000402	K16465
OG0007893	K21440
OG0001618	K00228
OG0001888	K00658
OG0006917	K10645
OG0000424	K10799
OG0005741	K27685
OG0009951	K03183
OG0005548	K16818
OG0005604	K12737
OG0002246	K08850
OG0003279	K09255
OG0008963	K27682
OG0009604	K00434
OG0002031	K19307
OG0002823	K00059
OG0000671	K07677
OG0007255	K17911
OG0007122	K14440
OG0001878	K13750
OG0007694	K00898
OG0000098	K15047
OG0000492	K18849
OG0003247	K16608
OG0000192	K02918
OG0007125	K23330
OG0001022	K02868
OG0000030	K04079
OG0000042	K24427
OG0006873	K03833
OG0007423	K08738
OG0001027	K04043
OG0000460	K07877
OG0005310	K13298
OG0000560	K03854
OG0000322	K09489
OG0000061	K09255
OG0008130	K23965
OG0000656	K24175
OG0001294	K03218
OG0009633	K10455
OG0005887	K04771
OG0007622	K17710
OG0007729	K15258
OG0006067	K07188
OG0008643	K04892
OG0000346	K17686
OG0001697	K06221
OG0008433	K03327
OG0004286	K21398
OG0000740	K01648
OG0000834	K01176
OG0009341	K11418
OG0007969	K14326
OG0003429	K14805
OG0004356	K10860
OG0010000	K00326
OG0006649	K03188
OG0005841	K14963
OG0005019	K02878
OG0009173	K09592
OG0003610	K07407
OG0001446	K16743
OG0000349	K14376
OG0009442	K08333
OG0006499	K03978
OG0001402	K16749
OG0009591	K08869
OG0008940	K03068
OG0008177	K07198
OG0009741	K11438
OG0006982	K04996
OG0007869	K12891
OG0008215	K04860
OG0005746	K00948
OG0000023	K12132
OG0001285	K24728
OG0000016	K09505
OG0007213	K05592
OG0002142	K03259
OG0003540	K20791
OG0001495	K12132
OG0006023	K21878
OG0001480	K02357
OG0007152	K03165
OG0009141	K08827
OG0002771	K07198
OG0001836	K24939
OG0000820	K05841
OG0008944	K09510
OG0000356	K06994
OG0001512	K10949
OG0007995	K13412
OG0009254	K03593
OG0004408	K20301
OG0003784	K10645
OG0004054	K15397
OG0009862	K22390
OG0004700	K14456
OG0000032	K04382
OG0002586	K11583
OG0000603	K01176
OG0004401	K07466
OG0005877	K00432
OG0001940	K01092
OG0000308	K04079
OG0006129	K07146
OG0008072	K12824
OG0005172	K15272
OG0004859	K00939
OG0008492	K02881
OG0002562	K01733
OG0009158	K01490
OG0001913	K01279
OG0004486	K17290
OG0004328	K23334
OG0007774	K07023
OG0007537	K08486
OG0007221	K13813
OG0005665	K22763
OG0008358	K00799
OG0000419	K12852
OG0003230	K04712
OG0009504	K15078
OG0004734	K17619
OG0001990	K25656
OG0001933	K23257
OG0005728	K00108
OG0003905	K24635
OG0001854	K06185
OG0006079	K12132
OG0009012	K22763
OG0006000	K12132
OG0006132	K10752
OG0004781	K08824
OG0002832	K01720
OG0008211	K01885
OG0004039	K01379
OG0004378	K22857
OG0002914	K12405
OG0007907	K02895
OG0003371	K13208
OG0001548	K23741
OG0003423	K15777
OG0003485	K10380
OG0008369	K18384
OG0000182	K04851
OG0005289	K00703
OG0000462	K02206
OG0000610	K12132
OG0008106	K08193
OG0005582	K00953
OG0006577	K02895
OG0008853	K20184
OG0002155	K09503
OG0004645	K08582
OG0006824	K08336
OG0001926	K00715
OG0000793	K06641
OG0002347	K01090
OG0000141	K05665
OG0007567	K15175
OG0005778	K19870
OG0004853	K15403
OG0008244	K01025
OG0000253	K04948
OG0006342	K17606
OG0005988	K16639
OG0009365	K15433
OG0009396	K06617
OG0001320	K11426
OG0000325	K04512
OG0001167	K00413
OG0000512	K09497
OG0000945	K00106
OG0000785	K02636
OG0005682	K11493
OG0006424	K08860
OG0004565	K13754
OG0004535	K15190
OG0006876	K08764
OG0008592	K14835
OG0004765	K21806
OG0004637	K24752
OG0002649	K00059
OG0004302	K26730
OG0007403	K17866
OG0001741	K00901
OG0002532	K16535
OG0003295	K14569
OG0002702	K10301
OG0001104	K01069
OG0006027	K12861
OG0001179	K10615
OG0005471	K09582
OG0008422	K00852
OG0008801	K08193
OG0003355	K15030
OG0009902	K11434
OG0004261	K11323
OG0009246	K01586
OG0006180	K00821
OG0007446	K25162
OG0000336	K06694
OG0002325	K19760
OG0002630	K04459
OG0007511	K15747
OG0000058	K00434
OG0009561	K03231
OG0006702	K00859
OG0005529	K04459
OG0004057	K15516
OG0008955	K12862
OG0008633	K14779
OG0008487	K03639
OG0001012	K01624
OG0007344	K15278
OG0008036	K27277
OG0004065	K05275
OG0008758	K08884
OG0000028	K10392
OG0001678	K19755
OG0004932	K03686
OG0008973	K17535
OG0005334	K14399
OG0000885	K05791
OG0001447	K00163
OG0010014	K12883
OG0009543	K00464
OG0000756	K07944
OG0004561	K04905
OG0003084	K16726
OG0000762	K11085
OG0005205	K01752
OG0002941	K13124
OG0004847	K03424
OG0001527	K03544
OG0001249	K02898
OG0000534	K12606
OG0007151	K24685
OG0000967	K03773
OG0009172	K01802
OG0006475	K08151
OG0001903	K17094
OG0000882	K18663
OG0002527	K13427
OG0004301	K03686
OG0004464	K05758
OG0005316	K08342
OG0007944	K04892
OG0003867	K06180
OG0002591	K07126
OG0009355	K01886
OG0003405	K17710
OG0006823	K21435
OG0001828	K20069
OG0002911	K15441
OG0005929	K02471
OG0009640	K16639
OG0001476	K07304
OG0010146	K09255
OG0003583	K13800
OG0009687	K16604
OG0006897	K08827
OG0008348	K05592
OG0010079	K22684
OG0006673	K14312
OG0007219	K19801
OG0007442	K03294
OG0000874	K10406
OG0006469	K09486
OG0003182	K04532
OG0003933	K25166
OG0003039	K13412
OG0004077	K10615
OG0007864	K01456
OG0003029	K03231
OG0001728	K09259
OG0003060	K03521
OG0003649	K16569
OG0001890	K07748
OG0006313	K02449
OG0000531	K06911
OG0003175	K14803
OG0003014	K07943
OG0003983	K01176
OG0005611	K03686
OG0000118	K07942
OG0002957	K03762
OG0000529	K20176
OG0008931	K24611
OG0009213	K16538
OG0001264	K04905
OG0009545	K11427
OG0000258	K05665
OG0000821	K15173
OG0000403	K14338
OG0009349	K13291
OG0009834	K26419
OG0003312	K08818
OG0007632	K04371
OG0008850	K09773
OG0006020	K01183
OG0007415	K13754
OG0003794	K10410
OG0000247	K06002
OG0005547	K01802
OG0001517	K22144
OG0003313	K16608
OG0008025	K13448
OG0008188	K00826
OG0009170	K05755
OG0008286	K14156
OG0007071	K01867
OG0009329	K01069
OG0002807	K03773
OG0008033	K00645
OG0005383	K14537
OG0006086	K16914
OG0000617	K10645
OG0009933	K22868
OG0008856	K06978
OG0007000	K20029
OG0007157	K08798
OG0009596	K13354
OG0001809	K24927
OG0000154	K13025
OG0000348	K08960
OG0004785	K17499
OG0000695	K00012
OG0006183	K06178
OG0005565	K23789
OG0003351	K10223
OG0009958	K22762
OG0000762	K05662
OG0007539	K01634
OG0001231	K21440
OG0002077	K22940
OG0001350	K20030
OG0008415	K10626
OG0000566	K11594
OG0008552	K06148
OG0008254	K01873
OG0006215	K01609
OG0009117	K00889
OG0003204	K12251
OG0010145	K06133
OG0001319	K02366
OG0001552	K14165
OG0007289	K01792
OG0005961	K03626
OG0007745	K25896
OG0002862	K05542
OG0001337	K00344
OG0001540	K09578
OG0002793	K14852
OG0000126	K01802
OG0002628	K02738
OG0010153	K00545
OG0003084	K10380
OG0005332	K10766
OG0000406	K04515
OG0003944	K26223
OG0006545	K13107
OG0006440	K01874
OG0009870	K25226
OG0001948	K16310
OG0004750	K15261
OG0001947	K04426
OG0005941	K19756
OG0000050	K04853
OG0000856	K06221
OG0000614	K09571
OG0000306	K00789
OG0000238	K08057
OG0005254	K08827
OG0006997	K04461
OG0000428	K14645
OG0006624	K20827
OG0004600	K17584
OG0009296	K14497
OG0003751	K04365
OG0000555	K12397
OG0005508	K07511
OG0004180	K14411
OG0001841	K03522
OG0007722	K15666
OG0007910	K10398
OG0003140	K11971
OG0005279	K12132
OG0001078	K21952
OG0004923	K09255
OG0005491	K15687
OG0008668	K23966
OG0008274	K07880
OG0006116	K09567
OG0008129	K04908
OG0004478	K01507
OG0000128	K11647
OG0000615	K08811
OG0006837	K08287
OG0004695	K15362
OG0004359	K02471
OG0005540	K17914
OG0001177	K24041
OG0000606	K07893
OG0004195	K06692
OG0001606	K09495
OG0008490	K01638
OG0006739	K06630
OG0002539	K00384
OG0008683	K01052
OG0003315	K17499
OG0002576	K00726
OG0006179	K20526
OG0008094	K19613
OG0007742	K15095
OG0003616	K13412
OG0006136	K10532
OG0002421	K03769
OG0008961	K13208
OG0009825	K05544
OG0009833	K15115
OG0001399	K14079
OG0006112	K00286
OG0004653	K09553
OG0000310	K01897
OG0002368	K21440
OG0002719	K06176
OG0008174	K08176
OG0008323	K03593
OG0004895	K17616
OG0006708	K03665
OG0000961	K15045
OG0005663	K20151
OG0002543	K23490
OG0000735	K04955
OG0004009	K24083
OG0009778	K15027
OG0000517	K01945
OG0001049	K24835
OG0000831	K02088
OG0001032	K13750
OG0009819	K22763
OG0006804	K19525
OG0001589	K11592
OG0008320	K13649
OG0007088	K01725
OG0000340	K04908
OG0005403	K08582
OG0001104	K17725
OG0009957	K12796
OG0006043	K15275
OG0008290	K11864
OG0005574	K22763
OG0003834	K12870
OG0000047	K10352
OG0003548	K13091
OG0008639	K16571
OG0009762	K03564
OG0001202	K08848
OG0001097	K09560
OG0008271	K27108
OG0001872	K06133
OG0005801	K16747
OG0001636	K04930
OG0009005	K11206
OG0010056	K02355
OG0001459	K17506
OG0000433	K02882
OG0002311	K04421
OG0006053	K14803
OG0002728	K03885
OG0000048	K01120
OG0006880	K14793
OG0010163	K10669
OG0000173	K21442
OG0000288	K04371
OG0008960	K10380
OG0000511	K12119
OG0000690	K00671
OG0009976	K00872
OG0005810	K00760
OG0001195	K14855
OG0000410	K01872
OG0000242	K01803
OG0007665	K13753
OG0001346	K02021
OG0009546	K15276
OG0006383	K04854
OG0007453	K02503
OG0004941	K19329
OG0006717	K03217
OG0005026	K16328
OG0004019	K09582
OG0008790	K05349
OG0006541	K12132
OG0000833	K00101
OG0002889	K27277
OG0002663	K13989
OG0005827	K17943
OG0004674	K11646
OG0004996	K09422
OG0006930	K10260
OG0004988	K01784
OG0000413	K04950
OG0005907	K01090
OG0004614	K09255
OG0002336	K08151
OG0002735	K13126
OG0002692	K01889
OG0006294	K06639
OG0006516	K00078
OG0001770	K00295
OG0005400	K24835
OG0003087	K00232
OG0002839	K06063
OG0007773	K12410
OG0006091	K25818
OG0001997	K03627
OG0009150	K03246
OG0000600	K00574
OG0001123	K08202
OG0005245	K02996
OG0002633	K25439
OG0003874	K08803
OG0000819	K15013
OG0001085	K19755
OG0005931	K15332
OG0003383	K11407
OG0005018	K20292
OG0000760	K00845
OG0003441	K06689
OG0001914	K08153
OG0007506	K19947
OG0005073	K18693
OG0002380	K19225
OG0000671	K07658
OG0005956	K06637
OG0008146	K03260
OG0003640	K03782
OG0000019	K08582
OG0007755	K09503
OG0008003	K08745
OG0003606	K13667
OG0004887	K01802
OG0003421	K02726
OG0003338	K23332
OG0004411	K03147
OG0001494	K00814
OG0008840	K00003
OG0001663	K20606
OG0005392	K00472
OG0001964	K15104
OG0000293	K12598
OG0003846	K17710
OG0008765	K12447
OG0000462	K02087
OG0004313	K27751
OG0008108	K11150
OG0008132	K05657
OG0008314	K14648
OG0000647	K02920
OG0006887	K00949
OG0006765	K13071
OG0001545	K17689
OG0001228	K16055
OG0001260	K12567
OG0000655	K04739
OG0005434	K20302
OG0003131	K11827
OG0000517	K11787
OG0008983	K13237
OG0002904	K15015
OG0009257	K01379
OG0006705	K06974
OG0000744	K17535
OG0002129	K19480
OG0006555	K01363
OG0001414	K09522
OG0003847	K14674
OG0001788	K24468
OG0000160	K01915
OG0009261	K00344
OG0003128	K16726
OG0003290	K08794
OG0002487	K12460
OG0008335	K00471
OG0000286	K03094
OG0006357	K15376
OG0005125	K14801
OG0003981	K12442
OG0003064	K26404
OG0003406	K16576
OG0004405	K13275
OG0001580	K06180
OG0008761	K02111
OG0008863	K06941
OG0009775	K17500
OG0003206	K10523
OG0002025	K07427
OG0007568	K22900
OG0004076	K09255
OG0003882	K12132
OG0006877	K01908
OG0006268	K26752
OG0000057	K12042
OG0007077	K03026
OG0000146	K15502
OG0004262	K12319
OG0000484	K16599
OG0000333	K17681
OG0005171	K13412
OG0009214	K23801
OG0001287	K10579
OG0005304	K22757
OG0006249	K00995
OG0001972	K11703
OG0007290	K10416
OG0006281	K23677
OG0006470	K18416
OG0005807	K11168
OG0003369	K00797
OG0000846	K21440
OG0005831	K08869
OG0006140	K12132
OG0007992	K24763
OG0008992	K02183
OG0005372	K17278
OG0008482	K06176
OG0009712	K08316
OG0008275	K10704
OG0009592	K01408
OG0006814	K03429
OG0007971	K14638
OG0009013	K25896
OG0005724	K14846
OG0007634	K01006
OG0003661	K23456
OG0003803	K10408
OG0008008	K00432
OG0004784	K26938
OG0003384	K14568
OG0003705	K21248
OG0009466	K03032
OG0000048	K13293
OG0000519	K08850
OG0000022	K14442
OG0009469	K04780
OG0009802	K00908
OG0001490	K01951
OG0009375	K01816
OG0002190	K00031
OG0003158	K17255
OG0008991	K03847
OG0004164	K15445
OG0005101	K03979
OG0000330	K22809
OG0004766	K00967
OG0002481	K01194
OG0007105	K02069
OG0001655	K00948
OG0003065	K03321
OG0003467	K03885
OG0002530	K00856
OG0003743	K05673
OG0003665	K21440
OG0006841	K10418
OG0006408	K08819
OG0000007	K12443
OG0008300	K11982
OG0000121	K09637
OG0000564	K20242
OG0003956	K27504
OG0003549	K19685
OG0004787	K25894
OG0004050	K01195
OG0001588	K01676
OG0006867	K19245
OG0003086	K00726
OG0003880	K05681
OG0004492	K02150
OG0003761	K01415
OG0006692	K22193
OG0007548	K19362
OG0004509	K10585
OG0001331	K07374
OG0000769	K14416
OG0009718	K24195
OG0001112	K03777
OG0002989	K08341
OG0004807	K11975
OG0005691	K09255
OG0009483	K12827
OG0003738	K06694
OG0005808	K24427
OG0008317	K24929
OG0006959	K14857
OG0003865	K17506
OG0007211	K18669
OG0001243	K14776
OG0007730	K09592
OG0000766	K01939
OG0008653	K15101
OG0005740	K14191
OG0002061	K05605
OG0002044	K14411
OG0004826	K02959
OG0000358	K03737
OG0000691	K12493
OG0001886	K24353
OG0000886	K02641
OG0001285	K11798
OG0004221	K19329
OG0004959	K07931
OG0007628	K10768
OG0009077	K11883
OG0009421	K14620
OG0008905	K00750
OG0005485	K07407
OG0000939	K11855
OG0006586	K09456
OG0001431	K10398
OG0010069	K08900
OG0007909	K03596
OG0005897	K14079
OG0004660	K00574
OG0002115	K03235
OG0000708	K08242
OG0003497	K02183
OG0006631	K22366
OG0000028	K10396
OG0001369	K23909
OG0009363	K00018
OG0004894	K19613
OG0003236	K02356
OG0003209	K25166
OG0002234	K19704
OG0009039	K13611
OG0003739	K10595
OG0004917	K23628
OG0003098	K01744
OG0006127	K00699
OG0003860	K14944
OG0000075	K05658
OG0007757	K08796
OG0002258	K06180
OG0004827	K07241
OG0001187	K11323
OG0001640	K06573
OG0007911	K01427
OG0005591	K04515
OG0002647	K03236
OG0005375	K05933
OG0001332	K03699
OG0000748	K01382
OG0000437	K01647
OG0008579	K13338
OG0001069	K02935
OG0006231	K16745
OG0003935	K08960
OG0002947	K14342
OG0001052	K02335
OG0002037	K10597
OG0000987	K08269
OG0004327	K18055
OG0002605	K17732
